Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
v5j,31,31,260,16,0,https://www.proshow.com/location/8105-north-fraser-way-burnaby-v5j-5m8/,0,0,0,0.02,431000,"48,48,48,39,48,21,11,9,11,9,11,11",2025-08-16,"Video, Image, Related searches",commercial,Organic
a v rental,6,6,50,34,0,https://www.proshow.com/audiovisual-rentals/,0,0,0,0,290000000,"52,42,52,42,33,19,33,0,0,0,0,0",2025-09-02,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
a v rental,94,94,50,34,0,https://www.proshow.com/location/calgary/,0,0,0,0,290000000,"52,42,52,42,33,19,33,0,0,0,0,0",2025-09-02,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
audio visual calgary jobs,43,43,70,11,0,https://www.proshow.com/,0,0,0,0.01,468000,"78,78,78,64,100,35,50,35,28,14,35,50",2025-10-17,"Video, Jobs search, Related searches",commercial,Organic
vancouver convention centre 1055 canada pl vancouver bc v6c 0c3,67,67,320,32,0,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.16,7660,"8,36,13,10,30,30,4,8,16,13,30,13",2025-09-06,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
st paul's hospital cme,10,10,70,18,0,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,0,0,0,0,81,"34,34,53,53,80,15,11,7,7,7,15,7",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Related searches",navigational,Organic
north fraser way,30,30,320,15,0,https://www.proshow.com/location/8105-north-fraser-way-burnaby-v5j-5m8/,0,0,0,0.09,30100000,"66,66,66,54,81,54,54,54,54,81,66,81",2025-09-07,"Knowledge panel, Image, Related searches","informational, transactional",Organic
projector rental vancouver,17,17,70,6,2.48,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.18,58,"23,33,9,52,19,9,23,52,52,52,33,14",2025-08-18,"Knowledge panel, Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
audio & visual equipment,50,50,70,39,2.33,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.17,137000000,"34,53,34,34,42,42,65,0,0,0,0,0",2025-08-29,"Local pack, Image pack, Sitelinks, Image, Video Carousel, Related searches",commercial,Organic
audio rental equipment near me,27,27,50,15,1.11,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.4,64200000,"100,100,100,100,18,18,18,18,18,18,18,18",2025-09-05,"Local pack, Related searches",transactional,Organic
st paul cme,10,10,90,17,0,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,0,0,0,0,16500000,"28,28,53,34,100,12,6,6,6,6,6,15",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic
celebration of light music,8,8,110,40,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,104000000,"62,1,1,1,1,0,1,1,1,1,1,1",2025-09-06,"Sitelinks, Video, People also ask, Related searches",informational,Organic
rent stereo equipment,25,25,170,6,1.09,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.17,17400000,"65,65,65,80,65,42,65,53,65,80,100,80",2025-08-22,"Local pack, Image, People also ask, Popular products, Related searches",commercial,Organic
video production companies vancouver,75,75,390,50,3.79,https://www.proshow.com/,0,0,0,0.42,6110000,"67,67,81,54,54,44,29,19,29,23,19,12",2025-09-12,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
honda celebration of light music,17,17,70,24,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,6850000,"88,2,2,2,0,0,0,2,2,2,2,0",2025-08-30,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
mission audio visual,46,46,50,28,0,https://www.proshow.com/,0,0,0,0.03,53100000,"18,18,18,18,18,100,100,100,100,18,18,18",2025-09-03,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
event companies vancouver,25,25,210,32,1.63,https://www.proshow.com/location/vancouver/,0,0,0,0.4,193000000,"66,43,54,6,43,81,66,8,43,43,43,4",2025-09-12,"Local pack, Image, Related searches",commercial,Organic
vancouver projector rentals,28,28,110,16,1.83,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.1,45,"52,52,41,52,64,52,41,100,64,82,82,64",2025-08-19,"Knowledge panel, Image pack, Sitelinks, Related searches",navigational,Organic
hotel arts in calgary,82,82,90,34,0.6,https://www.proshow.com/location/hotel-arts/,0,0,0,0.81,4550000,"50,78,78,50,78,7,14,64,64,64,100,64",2025-08-21,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
vancouver conference centre,21,21,260,37,2.03,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.17,146000000,"26,26,21,26,26,39,17,17,100,14,14,11",2025-09-07,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
av rental,9,9,110,33,2.19,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.17,316000000,"19,19,53,19,80,19,65,42,42,42,26,42",2025-08-29,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
st pauls cme,9,9,70,18,0,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,0,0,0,0,99,"29,14,14,22,66,4,6,2,6,4,4,10",2025-09-03,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic
calgary av rentals,10,10,70,26,3.41,https://www.proshow.com/location/calgary/,0,0,0,0.2,231000,"2,5,9,100,2,2,0,0,0,0,0,0",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
calgary av rentals,14,14,70,26,3.41,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.2,231000,"2,5,9,100,2,2,0,0,0,0,0,0",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
calgary ab t2a,37,37,70,24,0,https://www.proshow.com/location/3140-14th-avenue-northeast-calgary-ab-t2a-6j4-canada/,0,0,0,0.3,299000,"19,26,26,26,26,34,26,26,19,19,34,34",2025-08-20,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
vancouver convention centre in vancouver british columbia,48,48,320,41,0,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.28,27300000,"43,81,100,81,81,100,35,54,54,66,54,54",2025-09-10,"Local pack, Image pack, Sitelinks, People also ask, Related searches, AI overview","commercial, navigational",Organic
audio visual companies,64,64,70,53,3.49,https://www.proshow.com/location/banff-jasper/,0,0,0,0.18,329000000,"42,65,26,42,34,34,42,15,15,15,26,15",2025-08-26,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
audio visual production,61,61,70,42,2.6,https://www.proshow.com/audiovisual-what-we-do/,0,0,0,0.11,372000000,"52,9,52,9,9,9,52,9,52,52,42,23",2025-08-21,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
vancouver convention centre vancouver,25,25,320,33,2.03,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.17,11800000,"36,20,24,16,16,67,100,0,0,0,0,0",2025-09-02,"Knowledge panel, Sitelinks, Tweet, People also ask, Related searches",navigational,Organic
convention center vancouver bc canada,71,71,1900,40,1.57,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.13,89000000,"8,7,12,10,10,8,54,100,16,23,44,10",2025-10-14,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
audio equipment rental,22,22,170,18,1.19,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.32,63200000,"17,21,21,9,21,14,3,21,26,26,17,21",2025-10-28,"Local pack, Image, Related searches",commercial,Organic
av companies,13,13,90,49,3.49,https://www.proshow.com/,0,0,0,0.18,650000000,"17,17,53,17,43,7,10,10,10,82,7,12",2025-09-02,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
video production companies calgary,48,48,140,40,3.51,https://www.proshow.com/,0,0,0,0.33,988000,"43,43,43,43,43,43,65,65,43,53,53,6",2025-08-18,"Local pack, Video, Related searches",commercial,Organic
audio visual production companies,41,41,50,50,1.93,https://www.proshow.com/audiovisual-contact/,0,0,0,0.15,152000000,"18,18,100,18,18,18,18,18,100,100,100,100",2025-08-17,"Local pack, Image pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
vancouver camera show,42,42,70,10,0,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0,95,"7,7,15,80,7,7,15,26,53,65,7,7",2025-09-03,"Image pack, Video, Related searches",informational,Organic
av equipment suppliers,17,17,320,54,3.48,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.04,34800000,"100,81,54,29,81,66,54,23,29,19,19,19",2025-09-05,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
production companies vancouver bc,75,75,170,40,3.3,https://www.proshow.com/,0,0,0,0.47,21300000,"43,35,35,35,35,28,53,35,35,53,35,35",2025-08-28,"Carousel, Image, Related searches","commercial, informational",Organic
sound system rental,69,69,210,11,0.93,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.26,103000000,"65,100,100,100,65,65,80,53,100,80,80,80",2025-08-18,"Local pack, Sitelinks, Image, People also ask, Popular products, Related searches",commercial,Organic
vancouver convention centre vancouver bc,14,14,390,58,2.03,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.17,9680000,"36,20,24,16,16,67,100,16,10,10,3,13",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Tweet, People also ask, Related searches",navigational,Organic
audio visual equipment supplier near me,32,32,70,50,0,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.23,25600000,"81,81,81,63,63,63,63,63,45,45,45,18",2025-08-28,"Local pack, Sitelinks, Related searches",transactional,Organic
audio system rental,90,90,170,9,0.93,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.26,95000000,"100,100,100,100,80,100,100,42,80,100,80,80",2025-08-22,"Local pack, Image, Popular products, Related searches, AI overview",commercial,Organic
st paul's conference 2024,10,10,70,12,0,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,0,0,0,0,6320000,"82,100,64,64,100,11,11,11,11,11,11,5",2025-08-31,"Image pack, Sitelinks, Related searches",navigational,Organic
honda festival of light,21,21,90,41,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,17400000,"100,0,0,0,0,0,0,0,0,6,12,9",2025-08-19,"Image pack, Sitelinks, Video, Related searches, Discussions and forums",navigational,Organic
