Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
custom led wall displays,96,96,70,23,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0,85300000,"28,78,100,50,21,35",2025-08-23,"Image pack, Video, Popular products, Related searches",commercial,Organic
led video wall rental price,69,69,50,3,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0,22100000,"0,14,0,0,0,14,50,78,100,64,28,35",2025-09-05,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
led video wall rental price,75,75,50,3,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0,22100000,"0,14,0,0,0,14,50,78,100,64,28,35",2025-09-05,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
led display selling,52,52,70,46,0,https://www.promosa.com/custom-led-display,0,0,0,0,650000000,"45,100,100,81,27,45",2025-08-25,"Image pack, Sitelinks, Image, Popular products, Related searches",commercial,Organic
dj rezz tour,16,16,90,35,0.18,https://www.promosa.com/rezz,0,0,0,0.05,1280000,"53,34,42,42,26,34,34,26,53,34,26,7",2025-09-04,"Knowledge panel, Image pack, Video, People also ask, Twitter carousel, Events, Related searches",informational,Organic
faded in the park 2025,29,29,720,20,0.49,https://www.promosa.com/fvded,0,0,0,0.08,30300000,"0,0,0,0,0,4,100,66,36,24,24,66",2025-09-26,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Ads middle",informational,Organic
led display wall,32,32,50,34,1.36,https://www.promosa.com/custom-led-display,0,0,0,1,911000000,"45,63,63,63,18,63,100,63,81,45,0,9",2025-08-21,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
badlands schedule,5,5,50,11,0,https://www.promosa.com/badlands-music-festival,0,0,0,0,19000000,"4,4,4,4,4,4,4,4,4,22,81,4",2025-11-03,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
projector rental vancouver,54,54,70,6,2.48,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.18,58,"23,33,9,52,19,9,23,52,52,52,33,14",2025-08-18,"Knowledge panel, Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
chasing summer after party,27,27,70,13,0,https://www.promosa.com/chasing-summer,0,0,0,0.02,56800000,"36,16,1,1,1,1,1,1,1,1,1,1",2025-09-10,"Image pack, Video, People also ask, Related searches",informational,Organic
vancouver indigenous fashion week,17,17,480,26,0,https://www.promosa.com/vifw-vancouver-indigenous-fashion-week,0,0,0,0,2660000,"2,3,13,44,100,8,7,7,4,4,3,3",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
snowbombing music festival,28,28,70,47,0,https://www.promosa.com/snowbombing,0,0,0,0,35600,"63,63,63,63,100,81,63,81,45,36,18,18",2025-09-12,"Image pack, Video, People also ask, Related searches, Discussions and forums",informational,Organic
diljit dosanjh concert 2024,18,18,140,33,0,https://www.promosa.com/diljit-dosanjh,0,0,0,0,1230000,"76,8,6,10,6,13,1,1,1,1,1,1",2025-09-02,"Image pack, Sitelinks, Video, Image, Related searches, AI overview","commercial, informational",Organic
chasing summer lineup,38,38,260,16,0,https://www.promosa.com/chasing-summer,0,0,0,0,5080000,"36,41,0,0,0,0,1,2,13,5,8,5",2025-09-01,"Image pack, Sitelinks, Video, Related searches, See results about, Discussions and forums, AI overview","informational, transactional",Organic
calgary big four building,78,78,1900,44,0,https://www.promosa.com/calgary-stampede,0,0,0,0.07,12100000,"5,5,18,18,16,18,24,66,35,53,24,100",2025-10-04,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
diljit dosanjh toronto tickets,70,70,140,12,0,https://www.promosa.com/diljit-dosanjh,0,0,0,0,405000,"100,1,1,1,1,1,1,1,1,1,1,1",2025-09-08,"Image pack, Sitelinks, Video, People also ask, Twitter carousel, Related searches","commercial, informational",Organic
fvded meaning,28,28,70,13,0,https://www.promosa.com/fvded,0,0,0,0,28,"100,3,3,3,3,3,3,6,3,3,3,5",2025-08-20,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
chasingsummer,19,19,140,32,0.33,https://www.promosa.com/chasing-summer,0,0,0,0.02,91000000,"0,0,2,0,0,0,3,3,3,14,100,48",2025-10-17,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",navigational,Organic
led video wall,32,32,170,31,1.72,https://www.promosa.com/custom-led-display,0,0,0,1,685000000,"43,43,43,53,53,43,66,43,53,53,43,53",2025-08-21,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
fvded in the park 2025,33,33,1300,25,0.56,https://www.promosa.com/fvded,0,0,0,0.05,43800,"4,0,3,5,4,8,100,65,100,55,100,65",2025-10-06,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
led display screen rental,78,78,140,13,2.01,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.72,17800000,"42,42,42,34,42,53,53,80,100,53,53,42",2025-10-16,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
badlands calgary,2,2,1600,29,0.53,https://www.promosa.com/badlands-music-festival,0,0,0,0.03,913000,"7,3,3,5,13,13,28,28,43,66,66,15",2025-10-13,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",navigational,People also ask
badlands calgary,15,15,1600,29,0.53,https://www.promosa.com/badlands-music-festival,0,0,0,0.03,913000,"7,3,3,5,13,13,28,28,43,66,66,15",2025-10-13,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",navigational,Organic
led screen wall rental,12,12,70,6,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.01,19000000,"14,14,14,14,14,14,78,78,100,64,78,78",2025-09-02,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",transactional,Organic
led screen wall rental,29,29,70,6,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.01,19000000,"14,14,14,14,14,14,78,78,100,64,78,78",2025-09-02,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",transactional,Organic
led screen display,37,37,170,17,1.45,https://www.promosa.com/custom-led-display,0,0,0,1,890000000,"4,4,3,3,5,4,5,3,4,4,4,3",2025-08-27,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
stampede corral arena,35,35,390,21,0,https://www.promosa.com/calgary-stampede,0,0,0,0.02,57400,"32,48,39,59,48,32,48,39,26,26,32,21",2025-10-22,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",informational,Organic
diljit show,18,18,70,33,0,https://www.promosa.com/diljit-dosanjh,0,0,0,0,9240000,"36,1,4,2,0,2,0,0,0,0,0,1",2025-09-01,"Knowledge panel, Image pack, Sitelinks, Tweet, Video, Image, Events, Related searches",informational,Organic
gorge amphitheatre location,62,62,320,35,0.21,https://www.promosa.com/the-gorge-amphitheatre,0,0,0,0.08,852000,"24,36,55,30,16,20,30,24,24,16,16,16",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
chasing summer dates,48,48,50,17,0,https://www.promosa.com/chasing-summer,0,0,0,0,79,"100,52,9,9,9,9,9,9,9,14,52,52",2025-08-25,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",informational,Organic
fvded 2019,14,14,50,9,0,https://www.promosa.com/fvded,0,0,0,0,83,"28,5,5,5,5,5,5,43,5,5,5,28",2025-09-04,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
fvded in the park location,16,16,50,27,0,https://www.promosa.com/fvded,0,0,0,0.01,87,"64,11,11,11,11,11,11,11,23,23,64,100",2025-09-04,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
indigenous fashion week vancouver,15,15,480,26,0,https://www.promosa.com/vifw-vancouver-indigenous-fashion-week,0,0,0,0,2060000,"2,4,13,54,100,10,8,7,7,3,4,7",2025-08-30,"Image pack, Sitelinks, Video, Related searches, Discussions and forums",navigational,Organic
beyond and wonderland,53,53,390,50,0.24,https://www.promosa.com/beyond-wonderland,0,0,0,0.01,25300000,"17,32,21,26,14,21,48,72,100,48,39,72",2025-09-01,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
led video wall rental near me,14,14,50,3,2.53,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.21,86100000,"14,14,14,14,14,14,50,78,100,64,35,50",2025-08-23,"Local pack, Image pack, Video, People also ask, Popular products, Related searches",transactional,Organic
badlands music festival lineup,8,8,170,21,0.31,https://www.promosa.com/badlands-music-festival,0,0,0,0.03,310000,"100,9,4,3,5,9,9,7,11,14,21,26",2025-08-27,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about, AI overview",informational,People also ask
badlands music festival lineup,37,37,170,21,0.31,https://www.promosa.com/badlands-music-festival,0,0,0,0.03,310000,"100,9,4,3,5,9,9,7,11,14,21,26",2025-08-27,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about, AI overview",informational,Organic
led wall on rent,25,25,70,5,2.09,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.47,61000000,"9,9,9,9,9,9,52,100,33,42,52,9",2025-08-30,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,Organic
led wall on rent,39,39,70,5,2.09,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.47,61000000,"9,9,9,9,9,9,52,100,33,42,52,9",2025-08-30,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,Organic
led video wall rental,18,18,70,5,1.61,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.15,29900000,"9,9,9,9,14,14,52,66,80,52,23,33",2025-08-30,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
led video wall rental,45,45,70,5,1.61,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.15,29900000,"9,9,9,9,14,14,52,66,80,52,23,33",2025-08-30,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
diljit dosanjh concert toronto tickets,67,67,50,11,0,https://www.promosa.com/diljit-dosanjh,0,0,0,0,103000,"100,6,6,6,6,6,6,0,6,6,6,6",2025-09-03,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",Organic
chasing summer festival,14,14,170,20,0,https://www.promosa.com/chasing-summer,0,0,0,0.01,22000000,"54,100,6,9,5,5,15,15,23,23,19,29",2025-08-16,"Image pack, Sitelinks, Video, Related searches, See results about, Discussions and forums",navigational,Organic
led wall for parades,40,40,70,13,0,https://www.promosa.com/custom-led-display,0,0,0,0,18100000,"28,78,100,64,28,28",2025-08-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
led screen rental,32,32,140,13,2.18,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.53,70500000,"26,42,42,42,42,42,53,100,53,100,100,65",2025-08-21,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
led screen rental,41,41,140,13,2.18,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.53,70500000,"26,42,42,42,42,42,53,100,53,100,100,65",2025-08-21,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
led wall,39,39,390,23,1.35,https://www.promosa.com/custom-led-display,0,0,0,1,1040000000,"66,81,66,66,81,54,100,66,81,54,66,66",2025-09-06,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
led display rent,49,49,90,13,2.18,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.53,35000000,"26,34,42,0,0,34,42,53,53,0,100,0",2025-09-08,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
led display rent,77,77,90,13,2.18,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.53,35000000,"26,34,42,0,0,34,42,53,53,0,100,0",2025-09-08,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
badlands music festival 2024,5,5,170,34,0.68,https://www.promosa.com/badlands-music-festival,0,0,0,0.04,2150000,"84,3,2,2,2,2,2,1,1,1,2,1",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
badlands music festival 2024,26,26,170,34,0.68,https://www.promosa.com/badlands-music-festival,0,0,0,0.04,2150000,"84,3,2,2,2,2,2,1,1,1,2,1",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
chasing summer 2022,59,59,50,26,0,https://www.promosa.com/chasing-summer,0,0,0,0,18700000,"0,0,0,0,0,0,0,0,0,0,0,0",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
calgary stampede stadium,17,17,210,41,0.61,https://www.promosa.com/calgary-stampede,0,0,0,0.05,676000,"100,54,66,35,29,14,22,18,22,22,43,66",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
badlands music fest,2,2,170,23,0.26,https://www.promosa.com/badlands-music-festival,0,0,0,0.13,5130000,"37,8,0,2,0,3,1,2,4,3,31,13",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,People also ask
badlands music fest,11,11,170,23,0.26,https://www.promosa.com/badlands-music-festival,0,0,0,0.13,5130000,"37,8,0,2,0,3,1,2,4,3,31,13",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,Organic
led wall rental cost,84,84,50,3,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0,47300000,"14,0,14,14,14,14,50,78,100,64,35,28",2025-08-21,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
led wall rental cost,94,94,50,3,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0,47300000,"14,0,14,14,14,14,50,78,100,64,35,28",2025-08-21,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
chasing summer music festival,44,44,70,27,0.27,https://www.promosa.com/chasing-summer,0,0,0,0.02,15200000,"29,2,2,2,2,2,2,9,23,15,15,15",2025-09-12,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
arc'teryx festival squamish,27,27,50,24,0,https://www.promosa.com/arcteryx,0,0,0,0,63,"22,100,4,0,4,4,4,2,2,2,2,2",2025-08-29,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
chasing summers,16,16,590,61,0.19,https://www.promosa.com/chasing-summer,0,0,0,0.04,152000000,"100,1,0,0,0,2,5,8,20,20,54,79",2025-09-29,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
vifw,7,7,170,36,0,https://www.promosa.com/vifw-vancouver-indigenous-fashion-week,0,0,0,0,91,"2,2,7,48,100,7,4,4,5,4,5,2",2025-08-16,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
